id,title,dealer,refrence_id,carlength,carwidth,carheight,m3,serial_code,manufacturer_month,registration_year,Interior_color,exterior_color,mileage,engine_no,engine_size,fuel_type,chassis_no,transmission,drive,regular_price,price_yen,sale_price,steering,air_bags,dual_air_bags,air_conditioning,dual_air_conditioning,sun_roof,power_steering,power_window,power_mirror,central_locking,key_less_entry,leather_seats,gps,player,seats,doors,push_start,tv_navi,alloy_wheels,cruise_control,grill_guard,fog_lamps,hid,parking_sensor,rear_parking_camera,pas,power_slide_doors,full_aero_kits,wooden_steering,roof_rails,rear_spoiler,weight,ss,pc,carig_one,carig_two,created_at,updated_at
26,2013 TOYOTA AQUA,Agasta K.K,25200151,399,169,144,9.71,OTOZ-26,5,\N,Black,Black,140826,\N,1500,Petrol,NHP102200160,AT,2WD,2104,1734,2104,Right,1,\N,1,\N,0,1,1,0,0,0,0,\N,1,5,5,\N,1,0,0,0,1,\N,\N,0,\N,0,0,\N,0,1,1355,\N,\N,\N,\N,\N,\N
27,2013 TOYOTA AQUA,Agasta K.K,34400326,399,169,144,9.71,OTOZ-27,7,\N,Black,Gray,124126,\N,1500,Petrol,NHP102231138,AT,2WD,2599,2229,2599,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,5,5,\N,1,0,0,0,0,\N,\N,0,\N,0,0,\N,0,1,1375,\N,\N,\N,\N,\N,\N
28,2019 SUZUKI SWIFT (IGNIS),Agasta K.K,34800094,384,169,150,9.73,OTOZ-28,1,\N,Black,\N,23608,\N,1200,Petrol,ZC83S129509,AT,2WD,6686,6316,6686,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,5,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,1175,\N,\N,\N,\N,\N,\N
29,2016 HONDA FREED,Agasta K.K,34800671,426,169,171,12.31,OTOZ-29,12,\N,Black,Pearl,60927,\N,1500,Petrol,GB51012391,AT,2WD,8481,8111,8481,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,0,0,0,0,\N,\N,0,\N,0,0,\N,0,0,1745,\N,\N,\N,\N,\N,\N
32,1988 HONDA INTEGRA,Agasta K.K,34900283,435,166,134,9.68,OTOZ-32,11,\N,Black,Gray,94032,\N,1600,Petrol,DA11207384,MT,2WD,8543,8173,8543,Right,0,\N,1,\N,0,1,1,0,0,0,0,\N,1,5,5,\N,0,0,0,0,1,\N,\N,0,\N,0,0,\N,0,1,1245,\N,\N,\N,\N,\N,\N
33,2019 NISSAN SERENA,Agasta K.K,34900525,477,174,186,15.44,OTOZ-33,3,\N,Black,Pearl,57321,\N,2000,Petrol,GFC27160135,AT,2WD,11020,10650,11020,Right,1,\N,1,\N,0,1,1,0,0,0,0,\N,1,8,5,\N,1,1,0,0,1,\N,\N,0,\N,0,1,\N,0,1,2140,\N,\N,\N,\N,\N,\N
34,2018 MAZDA CX-5,Agasta K.K,34901297,454,184,169,14.12,OTOZ-34,9,\N,Black,Red,41859,\N,2200,Diesel,KF2P214352,AT,4WD,10834,10464,10834,Right,1,\N,1,\N,0,1,1,0,1,0,1,\N,1,5,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,0,1945,\N,\N,\N,\N,\N,\N
35,2015 TOYOTA ESQUIRE,Agasta K.K,35000122,469,169,182,14.43,OTOZ-35,9,\N,Black,Black,59649,\N,1800,Petrol,ZWR800145502,AT,2WD,11206,10836,11206,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,0,0,0,1,\N,\N,0,\N,0,0,\N,0,0,2005,\N,\N,\N,\N,\N,\N
36,2017 HONDA FREED HYBRID,Agasta K.K,35000898,426,169,171,12.31,OTOZ-36,8,\N,Black,Pearl,59210,\N,1500,Petrol,GB71017074,AT,2WD,9039,8669,9039,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,0,0,0,0,\N,\N,0,\N,0,0,\N,0,0,1815,\N,\N,100,\N,\N,\N
37,2015 MAZDA CX-5,Agasta K.K,35001016,454,184,170,14.2,OTOZ-37,7,\N,Black,Red,66935,\N,2500,Petrol,KE5FW200496,AT,2WD,5943,5573,5943,Right,1,\N,1,\N,0,1,1,0,1,0,1,\N,1,5,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,0,1755,\N,\N,\N,\N,\N,\N
38,2016 HONDA STEPWAGON,Agasta K.K,35001044,473,169,185,14.79,OTOZ-38,1,\N,Black,Black,11420,\N,1500,Petrol,RP41005521,AT,4WD,12754,12384,12754,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,2155,\N,\N,\N,\N,\N,\N
39,2019 HONDA FREED HYBRID,Agasta K.K,35001053,426,169,171,12.31,OTOZ-39,10,\N,Black,Gray,57685,\N,1500,Petrol,GB71115198,AT,2WD,6995,6625,6995,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,6,5,\N,0,0,0,0,0,\N,\N,0,\N,0,0,\N,0,0,1750,\N,\N,\N,\N,\N,\N
40,2016 TOYOTA VELLFIRE,Agasta K.K,35100083,493,185,188,17.15,OTOZ-40,11,\N,Black,Pearl,64811,\N,2500,Petrol,AGH300103799,AT,2WD,14116,13746,14116,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,0,0,0,1,\N,\N,0,\N,0,0,\N,0,1,2365,\N,\N,\N,\N,\N,\N
41,2010 TOYOTA ESTIMA (PREVIA),Agasta K.K,35100350,479,182,173,15.08,OTOZ-41,7,\N,Black,Pearl,70938,\N,2400,Petrol,ACR500120580,AT,2WD,3899,3529,3899,Right,1,\N,1,\N,1,1,1,0,0,0,0,\N,1,7,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,2165,\N,\N,\N,\N,\N,\N
42,2018 TOYOTA NOAH,Agasta K.K,35100531,471,173,182,14.83,OTOZ-42,3,\N,Black,Black,51805,\N,2000,Petrol,ZRR800386283,AT,2WD,11454,11084,11454,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,1985,\N,\N,\N,\N,\N,\N
43,2014 TOYOTA ALPHARD,Agasta K.K,35100535,488,184,190,17.06,OTOZ-43,10,\N,Black,Black,61427,\N,2400,Petrol,ANH208335184,AT,2WD,9472,9102,9472,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,2285,\N,\N,\N,\N,\N,\N
44,2015 TOYOTA ESQUIRE,Agasta K.K,35100658,469,169,186,14.74,OTOZ-44,4,\N,Black,Black,67541,\N,2000,Petrol,ZRR850030098,AT,4WD,10587,10217,10587,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,7,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,0,2055,\N,\N,\N,\N,\N,\N
45,2013 DAIHATSU TANTO,Agasta K.K,35100671,339,147,175,8.72,OTOZ-45,11,\N,Black,Black,57877,\N,660,Petrol,LA600S0018095,AT,2WD,4828,4458,4828,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,4,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,1180,\N,\N,\N,\N,\N,\N
46,2015 NISSAN SERENA,Agasta K.K,35100678,477,173,186,15.35,OTOZ-46,9,\N,Black,Pearl,66255,\N,2000,Petrol,HFC26280301,AT,2WD,6686,6316,6686,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,8,5,\N,1,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,2120,\N,\N,\N,\N,\N,\N
47,2019 NISSAN DAYZ ROOX,Agasta K.K,35100796,339,147,177,8.82,OTOZ-47,1,\N,Black,Pearl,31765,\N,660,Petrol,B21A0555562,AT,2WD,6252,5882,6252,Right,1,\N,1,\N,0,1,1,0,1,0,0,\N,1,4,5,\N,0,1,0,0,1,\N,\N,0,\N,0,0,\N,0,1,1180,\N,\N,\N,\N,\N,\N
48,2014 TOYOTA VOXY,Agasta K.K,35100802,471,173,182,14.83,OTOZ-48,9,\N,Black,Black,29989,\N,2000,Petrol,ZRR800063997,AT,2WD,9782,9412,9782,Right,1,\N,1,\N,0,1,1,0,0,0,0,\N,1,7,5,\N,1,1,0,0,1,\N,\N,0,\N,0,1,\N,0,1,1985,\N,\N,\N,\N,\N,\N
